SQLDATE,Pair_ID,Total_Events,Conflict_Events,Avg_Goldstein,Avg_Tone,Total_Mentions,Events_3d_sum,Events_7d_sum,Events_14d_sum,Tone_7d_mean,Goldstein_7d_mean,Goldstein_momentum,Tone_7d_std,V_b,Target_Escalation
2025-12-16,CHN-IND,2,0,6.0,-0.58273796637079,2,2.0,2.0,2.0,-0.58273796637079,6.0,0.0,0.0,0.0,1.0
2025-12-16,IRN-ISR,46,16,2.8043478260869565,-4.279402122373521,46,46.0,46.0,46.0,-4.279402122373521,2.8043478260869565,0.0,0.0,112.0,1.0
2025-12-16,ISR-UKR,6,4,2.8333333333333335,-8.913943736937108,6,6.0,6.0,6.0,-8.913943736937108,2.8333333333333335,0.0,0.0,28.0,0.0
2025-12-16,PAK-TWN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,IRN-RUS,119,77,3.5126050420168067,1.0372887570837785,119,119.0,119.0,119.0,1.0372887570837785,3.5126050420168067,0.0,0.0,539.0,0.0
2025-12-16,ISR-PAK,13,4,1.9230769230769231,-1.658447378337946,13,13.0,13.0,13.0,-1.658447378337946,1.9230769230769231,0.0,0.0,28.0,1.0
2025-12-16,IND-RUS,20,1,1.75,-2.900749070890263,20,20.0,20.0,20.0,-2.900749070890263,1.75,0.0,0.0,7.0,1.0
2025-12-16,RUS-TWN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,IND-PAK,65,18,3.169230769230769,-4.133559821174712,65,65.0,65.0,65.0,-4.133559821174712,3.169230769230769,0.0,0.0,126.0,0.0
2025-12-16,CHN-PAK,3,2,6.0,1.1894843389182232,3,3.0,3.0,3.0,1.1894843389182232,6.0,0.0,0.0,14.0,1.0
2025-12-16,IND-TWN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,IRN-TWN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,PAK-UKR,4,0,3.25,-4.117879179222255,4,4.0,4.0,4.0,-4.117879179222255,3.25,0.0,0.0,0.0,0.0
2025-12-16,PAK-RUS,72,43,3.1527777777777777,1.5799806109612005,72,72.0,72.0,72.0,1.5799806109612005,3.1527777777777777,0.0,0.0,301.0,0.0
2025-12-16,IRN-UKR,6,4,2.1666666666666665,-2.1481391223909783,6,6.0,6.0,6.0,-2.1481391223909783,2.1666666666666665,0.0,0.0,28.0,0.0
2025-12-16,IND-UKR,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,CHN-ISR,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-12-16,RUS-UKR,851,322,3.2044653349001173,-2.1766931497337705,941,851.0,851.0,851.0,-2.1766931497337705,3.2044653349001173,0.0,0.0,2254.0,0.0
2025-12-16,CHN-TWN,82,23,4.512195121951219,-1.9891940462570243,84,82.0,82.0,82.0,-1.9891940462570243,4.512195121951219,0.0,0.0,161.0,0.0
2025-12-16,CHN-RUS,36,10,4.083333333333333,-0.6569382678233722,36,36.0,36.0,36.0,-0.6569382678233722,4.083333333333333,0.0,0.0,70.0,1.0
2025-12-16,CHN-UKR,4,0,4.25,1.2626486774365415,4,4.0,4.0,4.0,1.2626486774365415,4.25,0.0,0.0,0.0,1.0
2025-12-16,ISR-TWN,6,2,2.3333333333333335,0.31347962382445,6,6.0,6.0,6.0,0.31347962382445,2.3333333333333335,0.0,0.0,14.0,0.0
2025-12-16,IND-ISR,2,0,2.5,-4.177542875633694,2,2.0,2.0,2.0,-4.177542875633694,2.5,0.0,0.0,0.0,0.0
2025-12-16,IND-IRN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,CHN-IRN,14,5,3.7142857142857144,-1.9300579874839379,14,14.0,14.0,14.0,-1.9300579874839379,3.7142857142857144,0.0,0.0,35.0,1.0
2025-12-16,ISR-RUS,15,7,3.533333333333333,-2.7832773761752603,15,15.0,15.0,15.0,-2.7832773761752603,3.533333333333333,0.0,0.0,49.0,0.0
2025-12-16,TWN-UKR,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-16,IRN-PAK,21,6,2.761904761904762,-3.8695232263548043,21,21.0,21.0,21.0,-3.8695232263548043,2.761904761904762,0.0,0.0,42.0,0.0
2025-12-17,IRN-ISR,142,41,3.2816901408450705,-3.694387379361606,142,188.0,188.0,188.0,-3.9868947508675636,3.0430189834660135,0.47734231475811395,0.4136678918778307,199.5,1.0
2025-12-17,CHN-UKR,15,9,4.533333333333333,-3.229755070707065,21,19.0,19.0,19.0,-0.9835531966352618,4.391666666666667,0.2833333333333332,3.1766091541402073,31.5,0.0
2025-12-17,IND-TWN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,PAK-UKR,2,2,1.5,-3.1986531986532,2,6.0,6.0,6.0,-3.6582661889377275,2.375,-1.75,0.6499909243032326,7.0,0.0
2025-12-17,IRN-TWN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,PAK-RUS,11,3,3.272727272727273,1.6874246261138446,11,83.0,83.0,83.0,1.6337026185375225,3.212752525252525,0.11994949494949525,0.07597439171234482,161.0,0.0
2025-12-17,IRN-UKR,0,0,0.0,0.0,0,6.0,6.0,6.0,-1.0740695611954891,1.0833333333333333,-2.1666666666666665,1.5189637403747798,14.0,0.0
2025-12-17,IND-UKR,3,0,2.0,-5.0,3,3.0,3.0,3.0,-2.5,1.0,2.0,3.5355339059327378,0.0,0.0
2025-12-17,CHN-IND,16,2,3.125,-2.752897760437371,16,18.0,18.0,18.0,-1.6678178634040806,4.5625,-2.875,1.5345347066428812,7.0,1.0
2025-12-17,CHN-ISR,13,7,2.769230769230769,-1.2968429961022907,13,13.0,13.0,13.0,-0.6484214980511454,1.3846153846153846,2.769230769230769,0.9170064766782092,24.5,0.0
2025-12-17,IND-IRN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,CHN-PAK,21,13,5.9523809523809526,2.556987934609521,21,24.0,24.0,24.0,1.8732361367638721,5.976190476190476,-0.04761904761904745,0.9669710658103032,52.5,0.0
2025-12-17,IRN-PAK,25,2,2.88,-2.8325764597952667,25,46.0,46.0,46.0,-3.3510498430750353,2.820952380952381,0.11809523809523803,0.7332320903637127,28.0,0.0
2025-12-17,ISR-TWN,0,0,0.0,0.0,0,6.0,6.0,6.0,0.156739811912225,1.1666666666666667,-2.3333333333333335,0.2216635677700766,7.0,0.0
2025-12-17,IND-PAK,44,8,2.9545454545454546,-4.148531286433812,44,109.0,109.0,109.0,-4.141045553804262,3.061888111888112,-0.2146853146853145,0.01058642460900825,91.0,0.0
2025-12-17,IND-ISR,2,0,1.5,-5.30693779608396,2,4.0,4.0,4.0,-4.742240335858828,2.0,-1.0,0.7986028068880241,0.0,0.0
2025-12-17,ISR-UKR,3,0,1.6666666666666667,7.19794344473008,3,9.0,9.0,9.0,-0.8580001461035143,2.25,-1.1666666666666667,11.39282468386948,14.0,0.0
2025-12-17,PAK-TWN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,CHN-RUS,69,26,3.6956521739130435,-1.7822068722222806,81,105.0,105.0,105.0,-1.2195725700228264,3.8894927536231885,-0.3876811594202896,0.7956850608267907,126.0,1.0
2025-12-17,CHN-TWN,131,20,4.770992366412214,-1.4333792602831115,133,213.0,213.0,213.0,-1.711286653270068,4.6415937441817166,0.25879724446099495,0.39302040424590334,150.5,0.0
2025-12-17,ISR-RUS,13,7,4.6923076923076925,-2.898994318006893,13,28.0,28.0,28.0,-2.841135847091077,4.112820512820512,1.1589743589743593,0.08182423426731654,49.0,0.0
2025-12-17,CHN-IRN,47,30,2.765957446808511,-1.3088109836620991,47,61.0,61.0,61.0,-1.6194344855730185,3.240121580547113,-0.9483282674772036,0.4392879691942472,122.5,0.0
2025-12-17,IND-RUS,29,10,2.6206896551724137,0.6177331813078925,29,49.0,49.0,49.0,-1.1415079447911851,2.185344827586207,0.8706896551724137,2.487942660013832,38.5,0.0
2025-12-17,RUS-TWN,19,10,2.8421052631578947,-0.8892745029511132,19,19.0,19.0,19.0,-0.4446372514755566,1.4210526315789473,2.8421052631578947,0.6288120313730287,35.0,0.0
2025-12-17,TWN-UKR,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-17,RUS-UKR,656,244,2.9908536585365852,-3.074022059161403,670,1507.0,1507.0,1507.0,-2.625357604447587,3.097659496718351,-0.21361167636353207,0.6345073568110083,1981.0,0.0
2025-12-17,ISR-PAK,72,22,3.0555555555555554,-3.007552558639084,72,85.0,85.0,85.0,-2.332999968488515,2.4893162393162394,1.1324786324786322,0.9539614215248342,91.0,0.0
2025-12-17,IRN-RUS,173,112,3.1098265895953756,-0.6848973047385971,173,292.0,292.0,292.0,0.17619572617259072,3.311215815806091,-0.40277845242143107,1.2177694427795567,661.5,0.0
2025-12-18,RUS-TWN,13,0,2.1538461538461537,-0.745234074865963,13,32.0,32.0,32.0,-0.544836192605692,1.6653171390013497,-0.688259109311741,0.47730678688924844,23.333333333333336,0.0
2025-12-18,CHN-IRN,11,7,2.8181818181818183,-2.991756977553355,11,72.0,72.0,72.0,-2.0768753162331306,3.0994749930920147,0.05222437137330749,0.851024853106208,98.0,0.0
2025-12-18,IRN-TWN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-18,PAK-TWN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-18,IRN-ISR,108,20,3.5277777777777777,-4.216872975530591,108,296.0,296.0,296.0,-4.063554159088572,3.2046052482366014,0.2460876369327072,0.3212328703475258,179.66666666666669,1.0
2025-12-18,CHN-PAK,32,15,5.03125,-0.4185262226152447,34,56.0,56.0,56.0,1.1093153503041664,5.661210317460317,-0.9211309523809526,1.4893761865334099,70.0,0.0
2025-12-18,IND-UKR,0,0,0.0,0.0,0,3.0,3.0,3.0,-1.6666666666666667,0.6666666666666666,-2.0,2.8867513459481287,0.0,0.0
2025-12-18,IND-IRN,4,0,3.0,-4.143672468279799,4,4.0,4.0,4.0,-1.3812241560932665,1.0,3.0,2.3923504149949832,0.0,0.0
2025-12-18,CHN-UKR,46,17,2.9565217391304346,0.3009824811740663,46,65.0,65.0,65.0,-0.5553746373654858,3.9132850241545896,-1.5768115942028986,2.3654668661680094,60.666666666666664,0.0
2025-12-18,TWN-UKR,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-18,ISR-RUS,9,2,2.111111111111111,-5.2997069566792305,9,37.0,37.0,37.0,-3.660659550287128,3.4455840455840456,-2.5811965811965814,1.4206353870565187,37.33333333333333,0.0
2025-12-18,IND-ISR,0,0,0.0,0.0,0,4.0,4.0,4.0,-3.1614935572392184,1.3333333333333333,-1.5,2.7955615457244956,0.0,0.0
2025-12-18,CHN-TWN,162,60,3.962962962962963,-1.3885683516607426,164,375.0,375.0,375.0,-1.6037138860669593,4.415383483775465,-0.8080294034492512,0.33458664021148415,240.33333333333334,0.0
2025-12-18,IND-PAK,26,9,2.9615384615384617,-2.8798669179103795,26,135.0,135.0,135.0,-3.7206526751729676,3.0284382284382283,0.006993006993007089,0.7281803028129225,81.66666666666666,0.0
2025-12-18,CHN-ISR,10,8,2.8,1.320835448990717,10,23.0,23.0,23.0,0.00799748429614211,1.8564102564102563,0.03076923076923066,1.308857547746292,35.0,0.0
2025-12-18,PAK-UKR,0,0,0.0,0.0,0,6.0,6.0,6.0,-2.438844125958485,1.5833333333333333,-1.5,2.1615306159941245,4.666666666666666,0.0
2025-12-18,CHN-RUS,60,33,3.066666666666667,-1.3580046570262991,65,165.0,165.0,165.0,-1.2657165990239838,3.615217391304348,-0.6289855072463766,0.5682826517225787,161.0,0.0
2025-12-18,ISR-PAK,11,2,2.8181818181818183,-3.8168750319805427,11,96.0,96.0,96.0,-2.827624989652524,2.598938098938099,-0.23737373737373701,1.090404939260333,65.33333333333334,0.0
2025-12-18,IND-RUS,7,0,3.5714285714285716,-4.20096955970477,7,56.0,56.0,56.0,-2.1613284830957133,2.6473727422003286,0.9507389162561579,2.4929964161228884,25.666666666666664,0.0
2025-12-18,RUS-UKR,663,234,3.434389140271493,-3.3399484233886345,683,2170.0,2170.0,2170.0,-2.863554544094603,3.209902711236065,0.44353548173490775,0.6095187766552057,1866.6666666666667,0.0
2025-12-18,IND-TWN,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-18,PAK-RUS,11,5,2.8181818181818183,-0.019448940264173684,11,94.0,94.0,94.0,1.082652098936957,3.0812289562289563,-0.4545454545454546,0.9559581996898139,119.0,0.0
